Cod regiune	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10
FRY4	6,40	66,67	33,33	0,00	66,67	0,00	66,67	100,00	0,00	100,00
FRY5	8,80	66,67	33,33	0,00	100,00	0,00	33,33	100,00	0,00	66,67
HR03	4,20	33,33	0,00	0,00	66,67	33,33	0,00	33,33	33,33	0,00
HR04	6,00	100,00	0,00	0,00	100,00	33,33	33,33	100,00	0,00	66,67
ITC1	1,80	33,33	66,67	0,00	33,33	66,67	100,00	100,00	0,00	66,67
ITC2	0,00	0,00	0,00	0,00	0,00	0,00	0,00	33,33	0,00	0,00
ITC3	2,80	33,33	0,00	0,00	0,00	0,00	0,00	0,00	0,00	100,00
ITC4	2,20	100,00	100,00	0,00	100,00	100,00	100,00	100,00	100,00	100,00
ITH1	1,90	33,33	0,00	0,00	0,00	33,33	0,00	0,00	0,00	0,00
ITH2	1,90	0,00	0,00	0,00	0,00	0,00	0,00	33,33	0,00	66,67
ITH3	2,00	100,00	33,33	0,00	66,67	33,33	0,00	66,67	0,00	100,00
ITH4	2,20	66,67	0,00	0,00	33,33	66,67	33,33	33,33	0,00	0,00
ITH5	2,30	100,00	100,00	0,00	100,00	100,00	0,00	100,00	66,67	66,67
ITI1	1,40	33,33	33,33	0,00	66,67	100,00	33,33	66,67	0,00	100,00
ITI2	1,30	0,00	0,00	0,00	0,00	0,00	33,33	0,00	0,00	66,67
ITI3	1,50	33,33	33,33	0,00	100,00	0,00	66,67	33,33	33,33	100,00
ITI4	1,70	100,00	66,67	0,00	100,00	66,67	100,00	33,33	0,00	100,00
ITF1	2,30	66,67	0,00	0,00	0,00	33,33	0,00	66,67	0,00	66,67
ITF2	2,40	0,00	0,00	0,00	0,00	33,33	0,00	0,00	0,00	0,00
ITF3	2,60	100,00	66,67	0,00	66,67	100,00	66,67	66,67	0,00	100,00
ITF4	2,50	100,00	100,00	0,00	100,00	66,67	33,33	100,00	66,67	100,00
ITF5	2,10	33,33	0,00	0,00	33,33	0,00	0,00	0,00	0,00	33,33
ITF6	3,90	66,67	66,67	0,00	66,67	33,33	0,00	66,67	0,00	100,00
ITG1	3,40	100,00	66,67	0,00	100,00	33,33	66,67	100,00	33,33	100,00
ITG2	2,10	66,67	0,00	0,00	0,00	66,67	33,33	33,33	0,00	0,00
CY00	2,70	33,33	33,33	0,00	0,00	0,00	0,00	66,67	33,33	33,33
LV00	2,70	0,00	33,33	0,00	66,67	0,00	0,00	66,67	33,33	33,33
LT01	3,10	33,33	0,00	0,00	33,33	100,00	66,67	66,67	0,00	100,00
LT02	3,10	100,00	100,00	0,00	100,00	33,33	0,00	100,00	0,00	100,00
